wav_filename,wav_filesize,transcript
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0023.wav,231758,a store of (pickled eggs( will be found very useful. an ornamental in serving with many :first: <an second< course dishes.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0024.wav,91598,"^illustration^, |ginger|."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0025.wav,256238,"the &ginger plant&, known to {naturalists{ as {zingiber official{ tally, is a native of the east and &west indies&."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0026.wav,181038,"in &jamaica& it |flowers| about <august< or <september<, fading about the <end of the year<."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0027.wav,305198,"beat the yolks of the other :two: (eggs(, add them with a little (flour( and (salt( to those pounded. mix all well together and roll into balls."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0028.wav,165198,boil them before they are put into the (soup( or other dish. they may be intended for.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0029.wav,84078,lemon juice may be added at pleasure.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0030.wav,299918,"mode put the whole of the ingredients into a (bottle( and let it remain for <a fortnight< in a warm place, occasionally shaking up the contents."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0031.wav,165038,"they ought to be taken up in <autumn< and when dried in the &house&, will keep <till spring<."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0032.wav,189518,"add the (wine( an if necessary. a seasoning of |cayenne|, when it will be ready to serve."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0033.wav,246798,"note the (wine( in this (sauce( may be omitted, and an (onion sliced( and (fried oven ice( brand substituted for it."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0034.wav,117838,|simmer| for <a minute< or :two: and serve in a tree.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0035.wav,115598,sufficient to serve with :five: or :six: macro.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0036.wav,444078,"various dishes are frequently ornamented and garnished with its graceful leaves, and these are sometimes boiled in (soups(, although it is more usually confined in ^english^ cookery to the macro sauce, as here given."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0037.wav,95118,"forcemeat for cold, (savory pies(."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0038.wav,189038,:pound: well and bind with :one: or :two: (eggs( which had been <previously< beaten and strained.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0039.wav,92238,"^illustration^, marjoram."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0040.wav,253518,it is a native of &portugal& and when its leaves are used as a seasoning herb they have an agreeable aromatic flavor.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0041.wav,388878,mode.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0042.wav,123918,sufficient for a moderate sized |haddock| or |pike|.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0043.wav,226798,"<now< beaten, strain the (eggs(. work these up with the other ingredients and the forcemeat will be ready for use."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0044.wav,184718,boil for <five minutes< mince it very small and mix it with the other ingredients.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0045.wav,195598,"if it should be in an unsound state, it must be on. no account made yusof."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0046.wav,84398,^illustration^ basil.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0047.wav,565358,other sweet herbs are cultivated for purposes of ^medicine^ and perfumery.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0048.wav,58958,french forcemeat
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0049.wav,506798,"it will be well to state in the beginning of this recipe that french forcemeat organelles consists of the blending of :three: separate processes, namely |panada|, utter and whatever meat you intend using."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0050.wav,281358,"place it over the fire. keep constantly stirring to prevent its burning, and when quite dry, put in a small piece of (butter(."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0051.wav,297358,put the other into a (stew pan( with sufficient water to cover it. let it stew gently till quite done. when take it out to cool.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0052.wav,99278,^illustration^ pestilent mortar.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0053.wav,353998,"when the :three: ingredients are properly prepared, :pound: them altogether in a mortar for some time. for the more &canals& are :pound:ed, the more delicate they are."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0054.wav,247278,"if the {queen{ else are not firm enough, add the yoke of another egg but omit the white, which only makes them hollow and puffy inside."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0055.wav,304398,"anyone with the slightest pretensions to refined cookery must in this particular, implicitly follow the example of our {friends{ across the channel."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0056.wav,67278,fried bread crumbs.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0057.wav,265998,"the fat they're fried and should be clear, and the crumbs should not have the slightest appearance or taste of having been in the least :degree: burnt."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0058.wav,75598,fried bread for borders.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0059.wav,279918,"when quite crisp, dip :one: side of the sip it into the beaten white of an egg mixed with a little flower and place it on the edge of the dish."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0060.wav,237038,"continue in this manner till the &border& is completed, arranging the sip. it's a pale and a dark :one: alternately."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0061.wav,557838,"mode cut up the (onion( and carrot into small (rings( and put them into a stoop in with the (herbs(. mushrooms, (bay leaf(, (cloves( and (mace(. add the (butter( and simmer the whole very gently over a slow fire until the (onion( is quite tender."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0062.wav,132558,sufficient :half: this quantity for :two: slices of salmon.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0063.wav,89678,^illustration^ sage.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0000.wav,478478,{folks{ brought up a sack of (potatoes( and a piece of cured pork from the {seller{.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0001.wav,454798,occasionally :one: of the horses would tear off with his teeth iplant full of |blossoms| and walk along munching it the |flowers| and nodding in time to his bites as he ate down toward them.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0002.wav,140718,it's no better than a badger hole. no proper dugout at all.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0003.wav,79918,"now, why is that auto?"
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0004.wav,288878,"presently against :one: of those banks, i saw a sort of shed thatched with the same (wine( colored grass that grew everywhere."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0005.wav,111118,very glad very glad she ejaculated.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0006.wav,172238,y'all give fixed up comfortable after awhile mrs shmurda make good house.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0007.wav,187758,my {grandmother{ always spoke in a very loud tone to {foreigners{ as if they were deaf.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0008.wav,477518,she made mrs |schmier| to understand the friendly intention of our visit and the {bohemian{ woman handled the (loaves( of (bread(.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0009.wav,165198,the family had been living on (corn cakes( and (sorghum molasses( for <three days<.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0010.wav,123438,i remembered what the {conductor{ had said about her eyes.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0011.wav,167438,"her skin was |brown| too, and in her cheeks she had a glow of rich dark color."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0012.wav,146318,even from a distance :one: could see that there was something strange about this boy.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0013.wav,92558,he was born like that. the others are smart.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0014.wav,69998,"|ambrose|, he made good {farmer{."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0015.wav,133678,"he struck |ambrosch| on the back, and the boy smiled knowingly."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0016.wav,101518,"at that moment, the {father{ came out of the hole in the &bank&."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0017.wav,201678,it was so long that it bushed out behind his ears and made him look like the old portraits. i remember in &virginia&.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0018.wav,113198,i noticed how white and well shaped his own hands were.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0019.wav,196398,"we stood, panting on the edge of the &ravine&, looking down at the trees and bushes that grew below us."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0020.wav,217038,the wind was so strong t(hat( i had to hold my (hat( on and the girls skirts were blown out before them.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0021.wav,157998,"she looked at me, her eyes fairly blazing with things she could not say."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0022.wav,241358,she pointed into the (gold cotton wood tree( behind his top we stood.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0023.wav,132558,|anthony| are pointed up to the ~sky~ and questioned me with her glance.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0024.wav,98798,she got up on her knees and wrung her hands.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0025.wav,77198,she was quick and very eager.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0026.wav,221358,we were so deep in the grass that we could see nothing but the blue sky over us and the gold tree in front of us.
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0027.wav,247438,"after |anthony|, i had said the new words over and over. she wanted to give me a little chased (silver ring( that she wore on her middle finger."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0028.wav,188238,"when i came up, he touched my shoulder and looked searchingly down into my face for <several seconds<."
/home/ubuntu/KerasDeepSpeech/dataset/1988-147956-0029.wav,180878,"i became somewhat embarrassed, for i was used to being taken for granted by my {elders{."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0000.wav,538478,"in aristocratic communities that people readily give themselves up to bursts of tumultuous and boisterous gaiety, which shake off at once the recollection of their privations. the {natives{ are democracies are not fond of being thus violently broken in upon, and they never lose sight of their own selves without regret."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0001.wav,352718,"an {american{ instead of going in a leisure hour to ^dance^ merrily at some places of public resort as the {fellows{ of his calling continued to do throughout the greater part of &europe&, shuts himself up at home to drink."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0002.wav,142478,i believe the seriousness of the {americans{ arises partly from their pride.
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0003.wav,178638,this is more especially the case amongst those free nations which formed democratic communities.
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0004.wav,438478,then there are in all classes of very large number of men constantly occupied with the series affairs of the government and those whose thoughts are not engaged in the direction of the ~commonwealth~ are wholly engrossed by the acquisition of a private fortune.
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0005.wav,523278,"i do not believe in such republics anymore than in that of |plato|, or if the things we read off really happened. i do not hesitate to affirm that these supposed democracies were composed of very different elements from hours, and that they had nothing in common with the letter except their name."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0006.wav,731758,"in aristocracies, every man has :one: sole object which he unceasingly pursues. but amongst democratic nations, the existence of man is more complex. the same mind will almost always embrace several ^optics^ at the same time, and these objects are frequently wholly foreign to each other as it cannot know them all well. the mind is readily satisfied with imperfect notions of each."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0007.wav,238158,chapter :16: why the national vanity of the {americans{ is more restless and |captchas| than that of the ^english^.
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0008.wav,218158,"the {americans{, in their intercourse with {strangers{, appear impatient with the smallest center and insatiable of praise."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0009.wav,236878,"if i say to an {american{ that the country he lives in is a fine :one:, i he replies there is not its fellow in the world."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0010.wav,277998,"if i applaud the freedom which its {inhabitants{ enjoy, he answers."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0011.wav,305678,"in aristocratic countries, the grades possess immense privileges upon which their pride rests, without seeking to rely upon the lesser advantages which recruited him."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0012.wav,437038,they therefore {entertainer{ com sense of their superiority. they do not dream of fonting privileges which every:one: perceives at no :one: contests and these things are not sufficiently new to them to be made. topics of ^conversation^.
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0013.wav,333038,they stand unmoved in their solitairy greatness. well assured that their scene of all the world without any effort to show themselves off and that no :one: will attempt to drive them from that position.
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0014.wav,339758,"when an aristocracy carries on the ^public affairs^, it's national pride naturally assumes this reserved in different and haughty form which is imitated by all the other classes of the nation."
/home/ubuntu/KerasDeepSpeech/dataset/1988-148538-0015.wav,554798,"these persons then displayed towards each other precisely the same purell jealousies, which animate the men of democracies the same ^eagerness^ to snatch the smallest advantages which there equals contested and the same desire to parade ostentatiously those of which they were in possession."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0000.wav,106318,the :two: stray kittens gradually make themselves at &home&.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0001.wav,252718,somehow or other cat has taught them that he is in charge here and he just chases them for fun <now< and again when he's not busy sleeping.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0002.wav,145838,"she doesn't pick them up, but just having them in the &room& sure doesn't give her asthma."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0003.wav,165198,when are you getting rid of these cats? i'm not fixing to start an annex to &kates cat home&.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0004.wav,176078,"right away when i bring home my new program, he says how come you're taking :one: less course this :half:?"
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0005.wav,206638,"i explained that i'm taking ^music^ and also ^biology^, ^algebra^, ^english^ and french ^music^, he snorts."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0006.wav,63438,pop it's of course.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0007.wav,169038,he does and for once i went around i keep music for this semester.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0008.wav,79118,i'll be lucky if i have time to breathe.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0009.wav,208718,sometimes &schools& do let kids take a lot of soft courses and then they're out on a limb later.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0010.wav,97038,so he cares.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0011.wav,310158,"besides, says |tom :half:|. the reason you and your {father{ are always bickering is that you are so much alike me like him."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0012.wav,116558,"as long as there's a bone on the &floor&, the :two: of you worry it."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0013.wav,177198,i get the (pillows comfort ubly( arranged on the floor with a big bottle of (soda( and a (bag( of (popcorn( within easy reach.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0014.wav,81038,|pop| goes right on tuning his channel.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0015.wav,151918,you're getting altogether too upset about these programs. stop it and behave yourself.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0016.wav,78638,it's your fault. mop it up yourself.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0017.wav,195918,"i hear the tv going for <a few minutes<, then pop, turns it off and goes in the &kitchen& to talk to {mom{."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0018.wav,171278,"well, i don't think you should turn a guys tv program off in the middle without even finding out about it."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0019.wav,86958,"i look at my watch, it's <10:45<."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0020.wav,204878,"i turned off the television set, i've lost track of what's happening and it doesn't seem to be the grand {father{ who is a spook after all."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0021.wav,137038,it's the :first: time |hilda| has been to our &house& and |tom| introduces her around.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0022.wav,88558,"i told |tom| we shouldn't come so late, says |hilda|."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0023.wav,138318,|tom| says thanks and looks at |hilda| and she blushes really.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0024.wav,192238,|tom| drinks a little more (coffee( and then he goes on. the trouble is i can't get married on this flower shop job.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0025.wav,93198,you know i get drafted <in a year< or :two: anyway.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0026.wav,83118,i've decided to enlist in the army.
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0027.wav,81518,"i'll have to check some more, says |tom|."
/home/ubuntu/KerasDeepSpeech/dataset/1988-24833-0028.wav,94478,here's you a long happy life.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0000.wav,214958,how infinite the wealth of love and hope garnered in the same tiny treasure houses? and oh.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0001.wav,305198,"what |bankrupts| in the world we feel when death, like some {remorseless creditor{, seizes on all we fondly thought our own."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0002.wav,184398,"the {ghoul{, like fever, was not to be brave with impunity and balked of its prey."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0003.wav,457678,"the board not so formidable as she had imagined, had inquired into her case, and instead of sending her to |stoke klippel| her {husbands{, |buckingham shire parish|, as she had dreaded, had agreed to pay her rent."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0004.wav,236878,|margaret| met |jim wilson| <several days< after his {brothers{ were seriously ill and heard from him the state of things at his &home&.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0005.wav,255438,she stopped with her hand on the latch of the |wilsons| door to steal her beating heart and listened to the hushed quiet within.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0006.wav,892238,"she opened the door softly there sat mrs |wilson| in the old rocking chair with :one: sick death like boy lying on her knee, crying without let or pause."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0007.wav,253198,"over the child, which at breathe, the {father{ bent, watching anxiously for some ground of hope, where hope there was none."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0008.wav,108558,is there any chance for the other :one:? thank you.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0009.wav,553038,"but |earnest|, as the {father{ was in watching the yet living, he had eyes and ears for all that concerned the dead, and sprang gently up, and took his dead {son{ on his hard couch in his arms with tender strength, and carried him upstairs, as if afraid of wakening him."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0010.wav,105038,"wishing him said, |mary|, in a tone of inquiry."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0011.wav,99918,then the {mother{ lifted up her voice and wept.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0012.wav,169038,her cries brought her {husband{ down to try with his aching heart to comfort hers.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0013.wav,162478,|mary| and |alice| drew near the fire and stood in quiet sorrow for sometime.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0014.wav,97838,then |alice| broke the silence by saying.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0015.wav,264400,<before christmas< time i was as full as full could be of going home for good and all.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0016.wav,187118,"but he stayed long there, and at last his sturdy frame shook with his strong agony."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0017.wav,121038,"oh |jim|, don't give way, so i cannot bear to see you."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0018.wav,425358,"he did not speak as though fearing to destroy by sound or motion, the happiness of that moment when her soft hands touched, thrilled through his frame, and her silvery voice was whispering. tenderness in his ear."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0019.wav,222798,"|don't jim|, please don't whispered. she again believing that his silence was only another form of grief."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0020.wav,543438,"||mary||, i almost loathe myself when i feel i would not give up <this minute< when my {brothers{ lie, {dad{ and {father{ and {mother{ are in such trouble for all my life that's passed and gone. and ||mary||."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0021.wav,335758,he remained upstairs until after the early dawn showed |mary| that she need have no fear of going home through the deserted and quiet &streets& to try and get a little sleep before work hour.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0022.wav,529358,so leaving kind messages to |george| and |jane wilson|.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0023.wav,342478,her thoughts ran on jims manner in words.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0024.wav,374158,"i cannot think what possesses me that i must always be wanting to comfort him when he's down cast and that i must go meddling with him <tonight<. when sure enough, it was his {aunt{'s place to speak to him."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0025.wav,308718,i think i cannot go right for either checked myself till i'm downright crossed to him or else i speak just natural and that's too kind and tender by :half:.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0026.wav,72238,but will he thanked me for it?
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0027.wav,540878,"there was something of keen, practical ^shrewdness^ about her, which contrasted very bewitchingly with the symbol, foolish unworldly ideas she had picked up. from the romances which |miss simmons|, young ladies were in the habit of recommending to each other."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0028.wav,325518,the old lemon infused years ago by her {aunt{ |esther| fermented in her little bosom and perhaps all the more for her {father{'s aversion to the rich and the gentle.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0029.wav,373358,"it was a comfort to her when scolded by |miss simmons|, to think of <the day< when she would drive up to the door in her own carriage to order her (gowns( from the hasty tempered yet kind {dressmaker{."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147149-0030.wav,496718,"but the best of her plans, the holiest."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0000.wav,269518,"they thought about the &house& most of <the day< as if it were <sunday<, greasing their (boots(, mending their (suspenders plating(, whip lashes."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0001.wav,152078,"anyway, he would never allow :one: of his horses to be put to such a strain."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0002.wav,202638,i had wanted to get some (picture books( for yoga and |antonia|. even |yoko| was able to read a little <now<.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0003.wav,149998,she cut squares of (cotton cloth( and we sold them together into a (book(.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0004.wav,233678,"on the white pages, i grouped <sunday< school cards and ^advertising^ cards which i had brought from my old country."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0005.wav,336558,"when he mounted his horse at the door, i saw that he had a hatchet slung to his belt and he gave {grandmother{ a meaning look, which told me he was planning a surprise for me."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0006.wav,111118,i put on my cap and ran out to meet |jake|.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0007.wav,219758,he used to help my {father{ cut <christmas< trees for me in &virginia& and he had not forgotten how much i liked them.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0008.wav,225358,"by the time we had placed the cold, fresh smelling little tree in a corner of the &sitting room&, it was already <christmas eve<."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0009.wav,287118,"from under the lining, he <now< ^produced^ a collection of brilliantly colored paper figures, several :inches: high and stiff, enough to stand alone."
/home/ubuntu/KerasDeepSpeech/dataset/1993-147964-0010.wav,658158,i can see them <now< exactly as they looked working about the table in the &lamplight&.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147965-0000.wav,139918,|gran| {father{ came down wearing a (white shirt( and his <sunday< coat.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147965-0001.wav,85998,<morning< prayers were longer than usual.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147965-0002.wav,299598,he gave thanks for food and comfort and prayed for the poor and destitute in great cities where the struggle for life was harder than it was here with us.
/home/ubuntu/KerasDeepSpeech/dataset/1993-147965-0003.wav,236078,"because he talked so little, his words had a peculiar force. they were not worn dull from constant use."
